id,firstName,lastName,team,weight,height,jersey,year,position,homeCity,homeState,homeCountry,homeLatitude,homeLongitude,homeCountyFIPS,recruitIds,Player,recruiting_rating,recruiting_stars,recruiting_rank,source
5218249,Willy,Suarez,Florida State,191,70,85,1,WR,Tampa,FL,USA,27.9477595,-82.458444,12057.0,[],Willy Suarez,0.9997,5.0,1.0,cfbd_2024
5222701,Antonio,Cromartie Jr.,Florida State,185,72,33,1,DB,Atlanta,GA,USA,33.7490987,-84.3901849,13121.0,['108278'],Antonio Cromartie Jr.,0.9997,5.0,1.0,cfbd_2024
5294070,Gavin,Markey,Florida State,235,72,16,1,QB,Athens,GA,USA,33.9597677,-83.376398,13059.0,[],Gavin Markey,0.9997,5.0,1.0,cfbd_2024
5294071,Zae,Thomas,Florida State,189,75,22,1,DB,Fort Lauderdale,FL,USA,26.1223084,-80.1433786,12011.0,['106532'],Zae Thomas,0.9997,5.0,1.0,cfbd_2024
5294072,Ethan,Pritchard,Florida State,219,74,35,1,LB,Sanford,FL,USA,28.8117297,-81.2680345,12117.0,['106697'],Ethan Pritchard,0.9997,5.0,1.0,cfbd_2024
5294073,Ethan,Post,Florida State,235,75,38,1,P,Rochester,MN,USA,44.0234387,-92.4630182,27109.0,[],Ethan Post,0.9997,5.0,1.0,cfbd_2024
5294074,Alex,Nocco,Florida State,190,74,53,1,LS,Tampa,FL,USA,27.9477595,-82.458444,12057.0,[],Alex Nocco,0.9997,5.0,1.0,cfbd_2024
5294075,Ja'Elyne,Matthews,Florida State,344,78,71,1,OL,Toms River,NJ,USA,39.9537359,-74.1979576,34029.0,[],Ja'Elyne Matthews,0.86,3.0,,transfer_portal
5294076,Greyson,Labiad,Florida State,250,75,89,3,TE,Celebration,FL,USA,29.62309225,-82.39622162575895,12001.0,[],Greyson Labiad,0.9997,5.0,1.0,cfbd_2024
5294077,Tyeland,Coleman,Florida State,301,76,91,3,DL,Terry,MS,USA,32.0962633,-90.2942566,28049.0,['182940'],Tyeland Coleman,0.9997,5.0,1.0,cfbd_2024
